2024-07-29 10:45:22 CPU: 1.6%, Memory: 11.3362%
2024-07-29 10:45:24 CPU: 1.6%, Memory: 11.3329%
2024-07-29 10:45:27 CPU: 0%, Memory: 11.3264%
2024-07-29 10:45:29 CPU: 0%, Memory: 11.3296%
2024-07-29 10:45:31 CPU: 0%, Memory: 11.3232%
2024-07-29 10:45:33 CPU: 1.6%, Memory: 11.3199%
2024-07-29 10:45:35 CPU: 1.6%, Memory: 11.3193%
2024-07-29 10:45:37 CPU: 0%, Memory: 11.3109%
2024-07-29 10:45:40 CPU: 0%, Memory: 11.3134%
2024-07-29 10:45:42 CPU: 1.6%, Memory: 11.3102%
2024-07-29 10:45:44 CPU: 4.8%, Memory: 11.3135%
2024-07-29 10:45:46 CPU: 0%, Memory: 11.3127%
2024-07-29 10:45:48 CPU: 1.6%, Memory: 11.3127%
2024-07-29 10:45:51 CPU: 0%, Memory: 11.3159%
2024-07-29 10:45:53 CPU: 1.6%, Memory: 11.3158%
2024-07-29 10:45:55 CPU: 0%, Memory: 11.3129%
2024-07-29 10:45:57 CPU: 1.6%, Memory: 11.3165%
2024-07-29 10:45:59 CPU: 1.6%, Memory: 11.3164%
2024-07-29 10:46:02 CPU: 0%, Memory: 11.3228%
2024-07-29 10:46:04 CPU: 0%, Memory: 11.324%
2024-07-29 10:46:06 CPU: 1.6%, Memory: 11.3285%
2024-07-29 10:46:08 CPU: 0%, Memory: 11.3285%
2024-07-29 10:46:10 CPU: 1.6%, Memory: 11.3334%
2024-07-29 10:46:13 CPU: 0%, Memory: 11.3398%
2024-07-29 10:46:15 CPU: 0%, Memory: 11.3456%
2024-07-29 10:46:17 CPU: 1.6%, Memory: 11.3456%
2024-07-29 10:46:19 CPU: 1.6%, Memory: 11.3487%
2024-07-29 10:46:21 CPU: 1.6%, Memory: 11.3468%
2024-07-29 10:46:24 CPU: 1.6%, Memory: 11.3402%
2024-07-29 10:46:26 CPU: 0%, Memory: 11.3352%
2024-07-29 10:46:28 CPU: 0%, Memory: 11.3301%
2024-07-29 10:46:30 CPU: 0%, Memory: 11.33%
2024-07-29 10:46:32 CPU: 3.1%, Memory: 11.3267%
2024-07-29 10:46:34 CPU: 1.6%, Memory: 11.328%
2024-07-29 10:46:37 CPU: 1.6%, Memory: 11.3248%
2024-07-29 10:46:39 CPU: 1.6%, Memory: 11.3215%
2024-07-29 10:46:41 CPU: 1.6%, Memory: 11.3183%
2024-07-29 10:46:43 CPU: 1.6%, Memory: 11.3069%
2024-07-29 10:46:45 CPU: 0%, Memory: 11.3134%
2024-07-29 10:46:48 CPU: 1.6%, Memory: 11.3115%
2024-07-29 10:46:50 CPU: 4.7%, Memory: 11.3101%
2024-07-29 10:46:52 CPU: 0%, Memory: 11.3095%
2024-07-29 10:46:54 CPU: 3.2%, Memory: 11.3036%
2024-07-29 10:46:56 CPU: 1.6%, Memory: 11.3044%
2024-07-29 10:46:59 CPU: 1.6%, Memory: 11.3011%
2024-07-29 10:47:01 CPU: 3.2%, Memory: 11.2998%
2024-07-29 10:47:03 CPU: 1.6%, Memory: 11.3029%
2024-07-29 10:47:05 CPU: 1.6%, Memory: 11.3023%
2024-07-29 10:47:07 CPU: 0%, Memory: 11.3023%
2024-07-29 10:47:10 CPU: 1.6%, Memory: 11.3085%
2024-07-29 10:47:12 CPU: 1.6%, Memory: 11.3085%
2024-07-29 10:47:14 CPU: 0%, Memory: 11.3149%
2024-07-29 10:47:16 CPU: 0%, Memory: 11.3156%
2024-07-29 10:47:18 CPU: 0%, Memory: 11.3124%
2024-07-29 10:47:20 CPU: 7.7%, Memory: 11.3059%
2024-07-29 10:47:23 CPU: 1.6%, Memory: 11.304%
2024-07-29 10:47:25 CPU: 1.6%, Memory: 11.3057%
2024-07-29 10:47:27 CPU: 0%, Memory: 11.3089%
2024-07-29 10:47:29 CPU: 0%, Memory: 11.3151%
2024-07-29 10:47:31 CPU: 1.6%, Memory: 11.3215%
2024-07-29 10:47:34 CPU: 1.6%, Memory: 11.3215%
2024-07-29 10:47:36 CPU: 0%, Memory: 11.3274%
2024-07-29 10:47:38 CPU: 0%, Memory: 11.3273%
2024-07-29 10:47:40 CPU: 0%, Memory: 11.3305%
2024-07-29 10:47:42 CPU: 0%, Memory: 11.3336%
2024-07-29 10:47:45 CPU: 1.6%, Memory: 11.3431%
2024-07-29 10:47:47 CPU: 1.6%, Memory: 11.3721%
2024-07-29 10:47:49 CPU: 0%, Memory: 11.3753%
2024-07-29 10:47:51 CPU: 1.6%, Memory: 11.3784%
2024-07-29 10:47:53 CPU: 0%, Memory: 11.3784%
2024-07-29 10:47:56 CPU: 0%, Memory: 11.3815%
2024-07-29 10:47:58 CPU: 1.6%, Memory: 11.3815%
2024-07-29 10:48:00 CPU: 0%, Memory: 11.3847%
2024-07-29 10:48:02 CPU: 1.6%, Memory: 11.3846%
2024-07-29 10:48:04 CPU: 1.6%, Memory: 11.3846%
2024-07-29 10:48:06 CPU: 0%, Memory: 11.3846%
2024-07-29 10:48:09 CPU: 0%, Memory: 11.3845%
2024-07-29 10:48:11 CPU: 0%, Memory: 11.3845%
2024-07-29 10:48:13 CPU: 1.6%, Memory: 11.3582%
2024-07-29 10:48:15 CPU: 1.6%, Memory: 11.3613%
2024-07-29 10:48:17 CPU: 1.6%, Memory: 11.3613%
2024-07-29 10:48:20 CPU: 3.2%, Memory: 11.3613%
2024-07-29 10:48:22 CPU: 1.6%, Memory: 11.3612%
2024-07-29 10:48:24 CPU: 1.6%, Memory: 11.3548%
2024-07-29 10:48:26 CPU: 1.6%, Memory: 11.3548%
2024-07-29 10:48:28 CPU: 4.7%, Memory: 11.3285%
2024-07-29 10:48:31 CPU: 0%, Memory: 11.3285%
2024-07-29 10:48:33 CPU: 1.6%, Memory: 11.3285%
2024-07-29 10:48:35 CPU: 1.6%, Memory: 11.3315%
2024-07-29 10:48:37 CPU: 1.6%, Memory: 11.3315%
2024-07-29 10:48:39 CPU: 0%, Memory: 11.3573%
2024-07-29 10:48:42 CPU: 3.2%, Memory: 11.3572%
2024-07-29 10:48:44 CPU: 1.6%, Memory: 11.3572%
2024-07-29 10:48:46 CPU: 0%, Memory: 11.3604%
2024-07-29 10:48:48 CPU: 1.6%, Memory: 11.3604%
2024-07-29 10:48:50 CPU: 3.2%, Memory: 11.3603%
2024-07-29 10:48:52 CPU: 0%, Memory: 11.3635%
2024-07-29 10:48:55 CPU: 1.6%, Memory: 11.3665%
2024-07-29 10:48:57 CPU: 1.6%, Memory: 11.3665%
2024-07-29 10:48:59 CPU: 0%, Memory: 11.3697%
2024-07-29 10:49:01 CPU: 1.6%, Memory: 11.3434%
2024-07-29 10:49:03 CPU: 1.6%, Memory: 11.3434%
2024-07-29 10:49:06 CPU: 1.6%, Memory: 11.3434%
2024-07-29 10:49:08 CPU: 1.6%, Memory: 11.3434%
2024-07-29 10:49:10 CPU: 0%, Memory: 11.3722%
2024-07-29 10:49:12 CPU: 0%, Memory: 11.3722%
